label,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y,underclassman,athleticism_score,production_score,final_score,imp_grade,posi_CB,posi_DB,posi_DC,posi_DE,posi_DL,posi_DT,posi_EDGE,posi_FB,posi_FS,posi_G,posi_IB,posi_K,posi_LB,posi_LS,posi_NT,posi_OB,posi_OC,posi_OG,posi_OH,posi_OL,posi_OT,posi_P,posi_QB,posi_RB,posi_S,posi_SAF,posi_SS,posi_ST,posi_T,posi_TE,posi_WO,posi_WR,conf_Group of 5,conf_Power 5
ARI_Monti Ossenfort,74.1907894736842,241.8421052631579,32.50657894736842,78.42105263157895,11.473684210526315,1.2689473684210526,3.6836842105263155,27.289473684210527,101.26315789473684,2.34,1.8715789473684212,4.7105263157894735,0.05263157894736842,77.99947368421053,71.67894736842106,74.67842105263158,6.036315789473684,0.21052631578947367,0.0,0.0,0.10526315789473684,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,1.0
ARI_Rod Graves,74.56923076923077,255.01538461538462,32.66346153846154,16.753846153846155,15.830769230769231,1.3296923076923077,3.8181538461538462,26.053846153846155,88.3076923076923,4.625692307692308,2.9866153846153844,0.1456923076923077,0.0,67.05553846153846,67.24815384615385,69.9416923076923,6.045076923076923,0.03076923076923077,0.07692307692307693,0.0,0.046153846153846156,0.16923076923076924,0.015384615384615385,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.0,0.09230769230769231,0.0,0.0,0.03076923076923077,0.03076923076923077,0.0,0.0,0.12307692307692308,0.015384615384615385,0.0,0.06153846153846154,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,0.06153846153846154,0.15384615384615385,0.0,0.09230769230769231,0.7384615384615385
ARI_Steve Keim,73.77715384615385,242.96923076923076,32.32115384615385,77.43661538461538,12.276923076923078,1.1918461538461538,3.451692307692308,22.43076923076923,80.53846153846153,3.9418461538461544,2.387846153846154,1.463846153846154,0.0,71.60261538461539,71.37046153846154,72.57476923076922,6.035846153846154,0.07692307692307693,0.06153846153846154,0.0,0.07692307692307693,0.07692307692307693,0.046153846153846156,0.0,0.0,0.0,0.046153846153846156,0.0,0.0,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.046153846153846156,0.0,0.0,0.046153846153846156,0.1076923076923077,0.03076923076923077,0.0,0.0,0.0,0.046153846153846156,0.07692307692307693,0.13846153846153847,0.0,0.09230769230769231,0.7692307692307693
ATL_Dan Reeves,72.28125,233.75,31.0,0.0,17.0,1.2675,3.585,16.5,86.5,3.775,2.2225,0.0,0.0,43.44,47.885,46.8625,5.925000000000001,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,1.0
ATL_Rich McKay,73.67241379310344,240.68965517241378,32.72844827586207,0.0,12.862068965517242,1.3144827586206895,3.7586206896551726,26.948275862068964,91.37931034482759,5.809655172413793,3.4727586206896555,0.16551724137931034,0.0,70.72793103448276,64.47862068965517,69.28,6.00103448275862,0.0,0.13793103448275862,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.06896551724137931,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.10344827586206896,0.0,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.06896551724137931,0.10344827586206896,0.0,0.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.13793103448275862,0.0,0.10344827586206896,0.6896551724137931
ATL_Terry Fontenot,74.36607142857143,250.25,31.540178571428573,75.77678571428571,6.785714285714286,0.7032142857142858,2.0335714285714284,14.964285714285714,50.107142857142854,0.8028571428571428,0.8278571428571428,4.748214285714285,0.07142857142857142,73.105,71.71214285714287,73.38857142857144,6.093928571428571,0.07142857142857142,0.0,0.0,0.21428571428571427,0.0,0.10714285714285714,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.0,0.0,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.0,0.07142857142857142,0.8928571428571429
ATL_Thomas Dimitroff,73.63948717948718,242.62820512820514,32.461666666666666,55.920064102564105,16.58974358974359,1.3816666666666666,3.9248717948717946,27.30128205128205,94.01282051282051,4.637948717948718,2.93525641025641,0.3698717948717949,0.0,65.94769230769231,68.24461538461539,69.22461538461539,6.053076923076923,0.05128205128205128,0.1794871794871795,0.0,0.038461538461538464,0.16666666666666666,0.01282051282051282,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.0,0.02564102564102564,0.02564102564102564,0.08974358974358974,0.02564102564102564,0.0,0.0,0.0,0.01282051282051282,0.038461538461538464,0.0641025641025641,0.0,0.11538461538461539,0.7692307692307693
BAL_Eric DeCosta,74.11057692307692,243.71153846153845,32.20192307692308,74.42788461538461,7.788461538461538,0.8309615384615385,2.4098076923076923,17.653846153846153,55.23076923076923,1.683846153846154,1.298846153846154,4.078653846153847,0.07692307692307693,72.01634615384616,71.96153846153847,72.69,6.0725,0.15384615384615385,0.0,0.0,0.11538461538461539,0.0,0.07692307692307693,0.0,0.019230769230769232,0.0,0.07692307692307693,0.0,0.0,0.057692307692307696,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.019230769230769232,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.0,0.0,0.0,0.057692307692307696,0.057692307692307696,0.1346153846153846,0.019230769230769232,0.11538461538461539,0.8846153846153846
BAL_Ozzie Newsome,74.35991869918699,250.21951219512195,32.64028455284553,41.435121951219514,14.34959349593496,1.3802439024390245,3.9713821138211385,27.235772357723576,96.91056910569105,5.432113821138211,3.3601626016260164,0.11056910569105692,0.0,69.00463414634146,67.00008130081301,69.62471544715447,5.998536585365854,0.024390243902439025,0.11382113821138211,0.0,0.06504065040650407,0.11382113821138211,0.024390243902439025,0.0,0.016260162601626018,0.008130081300813009,0.016260162601626018,0.0,0.0,0.07317073170731707,0.0,0.0,0.0,0.0,0.008130081300813009,0.008130081300813009,0.08943089430894309,0.008130081300813009,0.0,0.056910569105691054,0.08130081300813008,0.008130081300813009,0.0,0.008130081300813009,0.0,0.04065040650406504,0.08130081300813008,0.14634146341463414,0.0,0.11382113821138211,0.7398373983739838
BUF_Brandon Beane,73.9409649122807,240.50877192982455,32.122894736842106,77.36868421052633,8.789473684210526,1.1973684210526316,3.492280701754386,23.75438596491228,81.01754385964912,2.68140350877193,2.1178947368421053,3.0715789473684207,0.07017543859649122,69.1001754385965,69.21,70.25087719298246,6.025263157894737,0.10526315789473684,0.017543859649122806,0.0,0.08771929824561403,0.0,0.05263157894736842,0.0,0.0,0.0,0.07017543859649122,0.0,0.017543859649122806,0.14035087719298245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.03508771929824561,0.07017543859649122,0.07017543859649122,0.0,0.0,0.0,0.10526315789473684,0.05263157894736842,0.12280701754385964,0.017543859649122806,0.17543859649122806,0.7192982456140351
BUF_Buddy Nix,73.7890625,248.75,32.515625,77.40625,19.6875,1.4725,3.894375,30.5625,99.8125,5.8925,3.82375,0.0,0.0,69.340625,66.2025,70.1675,6.03125,0.0,0.3125,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.875
BUF_Doug Whaley,73.96,239.96,32.555,78.38,12.44,1.5284,4.3564,28.82,101.88,4.7244,3.3656,0.0,0.0,68.6948,66.9152,69.38600000000001,6.0451999999999995,0.04,0.12,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.04,0.88
BUF_Marv Levy,73.99107142857143,244.92857142857142,32.330357142857146,0.0,18.285714285714285,1.4164285714285714,4.067142857142857,27.928571428571427,92.57142857142857,5.105714285714286,3.0914285714285716,0.0,0.0,72.29642857142856,66.23928571428571,70.66571428571429,5.994285714285715,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.07142857142857142,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.2857142857142857,0.6428571428571429
BUF_Russ Brandon,74.42045454545455,250.22727272727272,33.19318181818182,0.0,18.0,1.6077272727272727,4.410454545454545,25.386363636363637,91.45454545454545,4.958636363636364,3.4477272727272723,0.0,0.0,68.35045454545455,70.21818181818182,71.62454545454545,6.01409090909091,0.0,0.18181818181818182,0.0,0.0,0.22727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.13636363636363635,0.0,0.13636363636363635,0.6818181818181818
BUF_Tom Donahoe,73.74375,246.85,31.6625,0.0,12.4,1.331,3.839,24.75,78.65,3.6855,2.1734999999999998,0.2225,0.0,70.8445,66.8215,70.237,5.971,0.05,0.0,0.05,0.05,0.0,0.1,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.0,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.05,0.7
CAR_Dave Gettelman,73.66875,249.5,32.93125,79.08125,14.65,1.421,4.054,28.35,98.6,4.622,2.862,0.0,0.0,68.5525,72.7405,73.5645,6.0655,0.15,0.1,0.0,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.05,0.75
CAR_Marty Hurney,74.24885416666667,246.17708333333334,32.483125,29.929895833333333,14.770833333333334,1.3407291666666667,3.8035416666666664,26.484375,93.16666666666667,5.155104166666667,2.963229166666667,0.4348958333333333,0.0,68.15864583333332,67.01489583333334,69.4021875,6.031145833333333,0.041666666666666664,0.08333333333333333,0.020833333333333332,0.0625,0.09375,0.03125,0.0,0.010416666666666666,0.010416666666666666,0.020833333333333332,0.0,0.010416666666666666,0.09375,0.0,0.0,0.010416666666666666,0.010416666666666666,0.0,0.0,0.09375,0.020833333333333332,0.010416666666666666,0.0625,0.0625,0.03125,0.0,0.0,0.0,0.03125,0.0625,0.11458333333333333,0.0,0.11458333333333333,0.8020833333333334
CAR_Scott Fitterer,73.65865384615384,238.53846153846155,32.23076923076923,77.625,3.5,0.7442307692307693,2.1307692307692307,13.01923076923077,45.34615384615385,0.8630769230769231,1.0457692307692308,4.708846153846154,0.19230769230769232,71.0603846153846,69.4826923076923,71.2476923076923,6.081538461538462,0.15384615384615385,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.07692307692307693,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.038461538461538464,0.0,0.0,0.11538461538461539,0.07692307692307693,0.11538461538461539,0.038461538461538464,0.0,1.0
CHI_Jerry Angelo,73.55701754385964,237.21052631578948,32.050438596491226,6.728070175438597,16.035087719298247,1.2903508771929824,3.7133333333333334,26.45614035087719,87.3859649122807,4.7882456140350875,2.9480701754385965,0.08877192982456139,0.0,70.71280701754387,69.66368421052631,72.17456140350878,6.01280701754386,0.0,0.19298245614035087,0.03508771929824561,0.03508771929824561,0.12280701754385964,0.07017543859649122,0.0,0.0,0.017543859649122806,0.0,0.017543859649122806,0.0,0.07017543859649122,0.0,0.0,0.03508771929824561,0.0,0.0,0.0,0.07017543859649122,0.0,0.0,0.08771929824561403,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.03508771929824561,0.15789473684210525,0.0,0.12280701754385964,0.7543859649122807
CHI_Phil Emery,74.2,255.2,32.5,78.28333333333333,16.8,1.3286666666666667,3.8406666666666665,27.466666666666665,98.06666666666666,5.879333333333333,3.5373333333333337,0.0,0.0,65.5,67.744,68.45133333333334,6.0120000000000005,0.0,0.06666666666666667,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.26666666666666666,0.6666666666666666
CHI_Ryan Pace,73.66705128205128,244.76923076923077,32.275769230769235,77.53217948717949,10.025641025641026,1.0264102564102564,3.0123076923076924,21.205128205128204,73.35897435897436,3.319230769230769,2.003846153846154,1.5815384615384616,0.0,73.80205128205128,70.55153846153846,73.68384615384616,6.083846153846154,0.10256410256410256,0.05128205128205128,0.0,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.10256410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.05128205128205128,0.1282051282051282,0.05128205128205128,0.0,0.0,0.0,0.05128205128205128,0.05128205128205128,0.1282051282051282,0.0,0.1282051282051282,0.6923076923076923
CHI_Ryan Poles,74.51136363636364,245.22727272727272,32.60227272727273,78.35227272727273,6.954545454545454,1.3286363636363636,3.821363636363636,25.227272727272727,85.81818181818181,2.326363636363636,1.4431818181818181,4.736818181818182,0.18181818181818182,69.67818181818183,65.52863636363635,68.06227272727273,6.076818181818182,0.13636363636363635,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.0,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.7272727272727273
CIN_Mike Brown,74.2434023668639,246.3491124260355,32.500059171597634,51.34630177514793,14.751479289940828,1.2709467455621302,3.659112426035503,24.346153846153847,84.88757396449704,3.8134911242603553,2.353491124260355,1.1565680473372781,0.011834319526627219,69.57934911242603,68.65946745562131,70.59656804733727,6.038875739644971,0.04142011834319527,0.08875739644970414,0.011834319526627219,0.05917159763313609,0.08284023668639054,0.05325443786982249,0.0,0.005917159763313609,0.005917159763313609,0.011834319526627219,0.005917159763313609,0.011834319526627219,0.08875739644970414,0.0,0.005917159763313609,0.011834319526627219,0.0,0.005917159763313609,0.005917159763313609,0.07692307692307693,0.011834319526627219,0.011834319526627219,0.047337278106508875,0.0650887573964497,0.023668639053254437,0.005917159763313609,0.0,0.0,0.04142011834319527,0.047337278106508875,0.1242603550295858,0.011834319526627219,0.1242603550295858,0.8106508875739645
CLE_Andrew Berry,74.15,245.5142857142857,32.410714285714285,78.27857142857142,3.8857142857142857,1.0331428571428571,2.9885714285714284,17.37142857142857,54.2,1.8845714285714283,1.1640000000000001,4.764857142857143,0.14285714285714285,69.84171428571429,69.02485714285714,70.15685714285715,6.043714285714286,0.11428571428571428,0.0,0.0,0.08571428571428572,0.0,0.14285714285714285,0.0,0.0,0.0,0.02857142857142857,0.0,0.02857142857142857,0.11428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.0,0.0,0.0,0.05714285714285714,0.02857142857142857,0.17142857142857143,0.02857142857142857,0.05714285714285714,0.9142857142857143
CLE_Butch Davis,74.2125,245.2,32.0875,0.0,10.3,0.6689999999999999,1.9259999999999997,17.1,71.0,3.543,1.687,1.42,0.0,75.072,70.374,74.731,6.069,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.7
CLE_George Kokinis,73.09375,226.375,31.875,0.0,15.5,1.4375,4.09875,21.875,72.375,4.3575,2.6825,0.0,0.0,62.927499999999995,69.59875,69.67875,6.08875,0.0,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.625
CLE_John Dorsey,72.6875,227.66666666666666,31.71875,75.28125,9.5,1.3091666666666668,3.8491666666666666,28.458333333333332,100.83333333333333,3.0058333333333334,2.1508333333333334,0.0,0.0,69.37833333333333,72.02083333333333,71.51,6.194166666666667,0.16666666666666666,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.16666666666666666,0.5833333333333334
CLE_Mickael Lombardi,74.275,242.0,33.175,78.6,7.6,1.34,3.8620000000000005,26.6,94.6,5.724,3.682,0.0,0.0,67.768,61.394000000000005,66.524,5.9719999999999995,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4
CLE_Phil Savage,73.94270833333333,242.54166666666666,32.5,0.0,16.416666666666668,1.2495833333333335,3.5879166666666666,22.479166666666668,73.0,4.29125,2.59375,0.0,0.0,70.30083333333333,66.99208333333333,69.45708333333333,6.017916666666667,0.041666666666666664,0.125,0.0,0.041666666666666664,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.125,0.0,0.16666666666666666,0.7916666666666666
CLE_Ray Farmer,72.91911764705883,239.0,32.095588235294116,77.2279411764706,14.117647058823529,1.2782352941176471,3.648823529411765,26.794117647058822,95.94117647058823,4.644117647058824,2.5629411764705883,0.0,0.0,72.21764705882353,76.82176470588236,76.20823529411764,6.083529411764706,0.0,0.29411764705882354,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.058823529411764705,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.7647058823529411
